"","histname","longname","year","histcode","franchise","so","g"
"1013"," Kansas City Athletics","1963 Kansas City Athletics",1963,"KCA","OAK",829,162
"1014"," Philadelphia Phillies","1963 Philadelphia Phillies",1963,"PHI","PHI",955,162
"1015"," Pittsburgh Pirates","1963 Pittsburgh Pirates",1963,"PIT","PIT",940,162
"1016"," San Francisco Giants","1963 San Francisco Giants",1963,"SFG","SFG",889,162
"1017"," St. Louis Cardinals","1963 St. Louis Cardinals",1963,"STL","STL",915,162
"1018"," Washington Senators","1963 Washington Senators",1963,"WSA","TEX",963,162
"1019"," Los Angeles Angels","1964 Los Angeles Angels",1964,"LAA","ANA",920,162
"1020"," Milwaukee Braves","1964 Milwaukee Braves",1964,"MLN","ATL",825,162
"1021"," Baltimore Orioles","1964 Baltimore Orioles",1964,"BAL","BAL",1019,163
"1022"," Boston Red Sox","1964 Boston Red Sox",1964,"BOS","BOS",917,162
"1023"," Chicago Cubs","1964 Chicago Cubs",1964,"CHC","CHC",1041,162
"1024"," Chicago White Sox","1964 Chicago White Sox",1964,"CHW","CHW",902,162
"1025"," Cincinnati Reds","1964 Cincinnati Reds",1964,"CIN","CIN",974,163
"1026"," Cleveland Indians","1964 Cleveland Indians",1964,"CLE","CLE",1063,164
"1027"," Detroit Tigers","1964 Detroit Tigers",1964,"DET","DET",912,163
"1028"," Houston Colt .'s","1964 Houston Colt .45's",1964,"HOU","HOU",872,162
"1029"," Los Angeles Dodgers","1964 Los Angeles Dodgers",1964,"LAD","LAD",893,164
"1030"," Minnesota Twins","1964 Minnesota Twins",1964,"MIN","MIN",1019,163
"1031"," New York Mets","1964 New York Mets",1964,"NYM","NYM",932,163
"1032"," New York Yankees","1964 New York Yankees",1964,"NYY","NYY",976,164
"1033"," Kansas City Athletics","1964 Kansas City Athletics",1964,"KCA","OAK",1104,163
"1034"," Philadelphia Phillies","1964 Philadelphia Phillies",1964,"PHI","PHI",924,162
"1035"," Pittsburgh Pirates","1964 Pittsburgh Pirates",1964,"PIT","PIT",970,162
"1036"," San Francisco Giants","1964 San Francisco Giants",1964,"SFG","SFG",900,162
"1037"," St. Louis Cardinals","1964 St. Louis Cardinals",1964,"STL","STL",925,162
"1038"," Washington Senators","1964 Washington Senators",1964,"WSA","TEX",1124,162
"1039"," California Angels","1965 California Angels",1965,"CAL","ANA",973,162
"1040"," Milwaukee Braves","1965 Milwaukee Braves",1965,"MLN","ATL",976,162
"1041"," Baltimore Orioles","1965 Baltimore Orioles",1965,"BAL","BAL",907,162
"1042"," Boston Red Sox","1965 Boston Red Sox",1965,"BOS","BOS",964,162
"1043"," Chicago Cubs","1965 Chicago Cubs",1965,"CHC","CHC",948,164
"1044"," Chicago White Sox","1965 Chicago White Sox",1965,"CHW","CHW",916,162
"1045"," Cincinnati Reds","1965 Cincinnati Reds",1965,"CIN","CIN",1003,162
"1046"," Cleveland Indians","1965 Cleveland Indians",1965,"CLE","CLE",857,162
"1047"," Detroit Tigers","1965 Detroit Tigers",1965,"DET","DET",952,162
"1048"," Houston Astros","1965 Houston Astros",1965,"HOU","HOU",877,162
"1049"," Los Angeles Dodgers","1965 Los Angeles Dodgers",1965,"LAD","LAD",891,162
"1050"," Minnesota Twins","1965 Minnesota Twins",1965,"MIN","MIN",969,162
"1051"," New York Mets","1965 New York Mets",1965,"NYM","NYM",1129,164
"1052"," New York Yankees","1965 New York Yankees",1965,"NYY","NYY",951,162
"1053"," Kansas City Athletics","1965 Kansas City Athletics",1965,"KCA","OAK",1020,162
"1054"," Philadelphia Phillies","1965 Philadelphia Phillies",1965,"PHI","PHI",1091,162
"1055"," Pittsburgh Pirates","1965 Pittsburgh Pirates",1965,"PIT","PIT",1008,163
"1056"," San Francisco Giants","1965 San Francisco Giants",1965,"SFG","SFG",844,163
"1057"," St. Louis Cardinals","1965 St. Louis Cardinals",1965,"STL","STL",882,162
"1058"," Washington Senators","1965 Washington Senators",1965,"WSA","TEX",1125,162
"1059"," California Angels","1966 California Angels",1966,"CAL","ANA",1062,162
"1060"," Atlanta Braves","1966 Atlanta Braves",1966,"ATL","ATL",913,163
"1061"," Baltimore Orioles","1966 Baltimore Orioles",1966,"BAL","BAL",926,160
"1062"," Boston Red Sox","1966 Boston Red Sox",1966,"BOS","BOS",1020,162
"1063"," Chicago Cubs","1966 Chicago Cubs",1966,"CHC","CHC",998,162
"1064"," Chicago White Sox","1966 Chicago White Sox",1966,"CHW","CHW",872,163
"1065"," Cincinnati Reds","1966 Cincinnati Reds",1966,"CIN","CIN",877,160
"1066"," Cleveland Indians","1966 Cleveland Indians",1966,"CLE","CLE",914,162
"1067"," Detroit Tigers","1966 Detroit Tigers",1966,"DET","DET",987,162
"1068"," Houston Astros","1966 Houston Astros",1966,"HOU","HOU",885,163
"1069"," Los Angeles Dodgers","1966 Los Angeles Dodgers",1966,"LAD","LAD",830,162
"1070"," Minnesota Twins","1966 Minnesota Twins",1966,"MIN","MIN",844,162
"1071"," New York Mets","1966 New York Mets",1966,"NYM","NYM",992,161
"1072"," New York Yankees","1966 New York Yankees",1966,"NYY","NYY",817,160
"1073"," Kansas City Athletics","1966 Kansas City Athletics",1966,"KCA","OAK",982,160
"1074"," Philadelphia Phillies","1966 Philadelphia Phillies",1966,"PHI","PHI",969,162
"1075"," Pittsburgh Pirates","1966 Pittsburgh Pirates",1966,"PIT","PIT",1011,162
"1076"," San Francisco Giants","1966 San Francisco Giants",1966,"SFG","SFG",860,161
"1077"," St. Louis Cardinals","1966 St. Louis Cardinals",1966,"STL","STL",977,162
"1078"," Washington Senators","1966 Washington Senators",1966,"WSA","TEX",1069,159
"1079"," California Angels","1967 California Angels",1967,"CAL","ANA",1021,161
"1080"," Atlanta Braves","1967 Atlanta Braves",1967,"ATL","ATL",947,162
"1081"," Baltimore Orioles","1967 Baltimore Orioles",1967,"BAL","BAL",1002,161
"1082"," Boston Red Sox","1967 Boston Red Sox",1967,"BOS","BOS",1020,162
"1083"," Chicago Cubs","1967 Chicago Cubs",1967,"CHC","CHC",912,162
"1084"," Chicago White Sox","1967 Chicago White Sox",1967,"CHW","CHW",849,162
"1085"," Cincinnati Reds","1967 Cincinnati Reds",1967,"CIN","CIN",969,162
"1086"," Cleveland Indians","1967 Cleveland Indians",1967,"CLE","CLE",984,162
"1087"," Detroit Tigers","1967 Detroit Tigers",1967,"DET","DET",994,163
"1088"," Houston Astros","1967 Houston Astros",1967,"HOU","HOU",934,162
"1089"," Los Angeles Dodgers","1967 Los Angeles Dodgers",1967,"LAD","LAD",881,162
"1090"," Minnesota Twins","1967 Minnesota Twins",1967,"MIN","MIN",976,164
"1091"," New York Mets","1967 New York Mets",1967,"NYM","NYM",981,162
"1092"," New York Yankees","1967 New York Yankees",1967,"NYY","NYY",1043,163
"1093"," Kansas City Athletics","1967 Kansas City Athletics",1967,"KCA","OAK",1019,161
"1094"," Philadelphia Phillies","1967 Philadelphia Phillies",1967,"PHI","PHI",1033,162
"1095"," Pittsburgh Pirates","1967 Pittsburgh Pirates",1967,"PIT","PIT",914,163
"1096"," San Francisco Giants","1967 San Francisco Giants",1967,"SFG","SFG",978,162
"1097"," St. Louis Cardinals","1967 St. Louis Cardinals",1967,"STL","STL",919,161
"1098"," Washington Senators","1967 Washington Senators",1967,"WSA","TEX",1037,161
"1099"," California Angels","1968 California Angels",1968,"CAL","ANA",1080,162
"1100"," Atlanta Braves","1968 Atlanta Braves",1968,"ATL","ATL",782,163
"1101"," Baltimore Orioles","1968 Baltimore Orioles",1968,"BAL","BAL",1019,162
"1102"," Boston Red Sox","1968 Boston Red Sox",1968,"BOS","BOS",974,162
"1103"," Chicago Cubs","1968 Chicago Cubs",1968,"CHC","CHC",854,163
"1104"," Chicago White Sox","1968 Chicago White Sox",1968,"CHW","CHW",840,162
"1105"," Cincinnati Reds","1968 Cincinnati Reds",1968,"CIN","CIN",938,163
"1106"," Cleveland Indians","1968 Cleveland Indians",1968,"CLE","CLE",858,162
"1107"," Detroit Tigers","1968 Detroit Tigers",1968,"DET","DET",964,164
"1108"," Houston Astros","1968 Houston Astros",1968,"HOU","HOU",988,162
"1109"," Los Angeles Dodgers","1968 Los Angeles Dodgers",1968,"LAD","LAD",980,162
"1110"," Minnesota Twins","1968 Minnesota Twins",1968,"MIN","MIN",966,162
"1111"," New York Mets","1968 New York Mets",1968,"NYM","NYM",1203,163
"1112"," New York Yankees","1968 New York Yankees",1968,"NYY","NYY",958,164
"1113"," Oakland Athletics","1968 Oakland Athletics",1968,"OAK","OAK",1022,163
"1114"," Philadelphia Phillies","1968 Philadelphia Phillies",1968,"PHI","PHI",1003,162
"1115"," Pittsburgh Pirates","1968 Pittsburgh Pirates",1968,"PIT","PIT",953,163
"1116"," San Francisco Giants","1968 San Francisco Giants",1968,"SFG","SFG",904,163
"1117"," St. Louis Cardinals","1968 St. Louis Cardinals",1968,"STL","STL",897,162
"1118"," Washington Senators","1968 Washington Senators",1968,"WSA","TEX",960,161
"1119"," California Angels","1969 California Angels",1969,"CAL","ANA",929,163
"1120"," Atlanta Braves","1969 Atlanta Braves",1969,"ATL","ATL",665,162
"1121"," Baltimore Orioles","1969 Baltimore Orioles",1969,"BAL","BAL",806,162
"1122"," Boston Red Sox","1969 Boston Red Sox",1969,"BOS","BOS",923,162
"1123"," Chicago Cubs","1969 Chicago Cubs",1969,"CHC","CHC",928,163
"1124"," Chicago White Sox","1969 Chicago White Sox",1969,"CHW","CHW",844,162
"1125"," Cincinnati Reds","1969 Cincinnati Reds",1969,"CIN","CIN",1042,163
"1126"," Cleveland Indians","1969 Cleveland Indians",1969,"CLE","CLE",906,161
"1127"," Detroit Tigers","1969 Detroit Tigers",1969,"DET","DET",922,162
"1128"," Houston Astros","1969 Houston Astros",1969,"HOU","HOU",972,162
"1129"," Kansas City Royals","1969 Kansas City Royals",1969,"KCR","KCR",901,163
"1130"," Los Angeles Dodgers","1969 Los Angeles Dodgers",1969,"LAD","LAD",823,162
"1131"," Seattle Pilots","1969 Seattle Pilots",1969,"SEP","MIL",1015,163
"1132"," Minnesota Twins","1969 Minnesota Twins",1969,"MIN","MIN",906,162
"1133"," New York Mets","1969 New York Mets",1969,"NYM","NYM",1089,162
"1134"," New York Yankees","1969 New York Yankees",1969,"NYY","NYY",840,162
"1135"," Oakland Athletics","1969 Oakland Athletics",1969,"OAK","OAK",953,162
"1136"," Philadelphia Phillies","1969 Philadelphia Phillies",1969,"PHI","PHI",1130,162
"1137"," Pittsburgh Pirates","1969 Pittsburgh Pirates",1969,"PIT","PIT",944,162
"1138"," San Diego Padres","1969 San Diego Padres",1969,"SDP","SDP",1143,162
"1139"," San Francisco Giants","1969 San Francisco Giants",1969,"SFG","SFG",1054,162
"1140"," St. Louis Cardinals","1969 St. Louis Cardinals",1969,"STL","STL",876,162
"1141"," Washington Senators","1969 Washington Senators",1969,"WSA","TEX",900,162
"1142"," Montreal Expos","1969 Montreal Expos",1969,"MON","WSN",962,162
"1143"," California Angels","1970 California Angels",1970,"CAL","ANA",922,162
"1144"," Atlanta Braves","1970 Atlanta Braves",1970,"ATL","ATL",736,162
"1145"," Baltimore Orioles","1970 Baltimore Orioles",1970,"BAL","BAL",952,162
"1146"," Boston Red Sox","1970 Boston Red Sox",1970,"BOS","BOS",855,162
"1147"," Chicago Cubs","1970 Chicago Cubs",1970,"CHC","CHC",844,162
"1148"," Chicago White Sox","1970 Chicago White Sox",1970,"CHW","CHW",872,162
"1149"," Cincinnati Reds","1970 Cincinnati Reds",1970,"CIN","CIN",984,162
"1150"," Cleveland Indians","1970 Cleveland Indians",1970,"CLE","CLE",909,162
"1151"," Detroit Tigers","1970 Detroit Tigers",1970,"DET","DET",825,162
"1152"," Houston Astros","1970 Houston Astros",1970,"HOU","HOU",911,162
"1153"," Kansas City Royals","1970 Kansas City Royals",1970,"KCR","KCR",958,162
"1154"," Los Angeles Dodgers","1970 Los Angeles Dodgers",1970,"LAD","LAD",841,161
"1155"," Milwaukee Brewers","1970 Milwaukee Brewers",1970,"MIL","MIL",985,163
"1156"," Minnesota Twins","1970 Minnesota Twins",1970,"MIN","MIN",905,162
"1157"," New York Mets","1970 New York Mets",1970,"NYM","NYM",1062,162
"1158"," New York Yankees","1970 New York Yankees",1970,"NYY","NYY",808,163
"1159"," Oakland Athletics","1970 Oakland Athletics",1970,"OAK","OAK",977,162
"1160"," Philadelphia Phillies","1970 Philadelphia Phillies",1970,"PHI","PHI",1066,161
"1161"," Pittsburgh Pirates","1970 Pittsburgh Pirates",1970,"PIT","PIT",871,162
"1162"," San Diego Padres","1970 San Diego Padres",1970,"SDP","SDP",1164,162
"1163"," San Francisco Giants","1970 San Francisco Giants",1970,"SFG","SFG",1005,162
"1164"," St. Louis Cardinals","1970 St. Louis Cardinals",1970,"STL","STL",961,162
"1165"," Washington Senators","1970 Washington Senators",1970,"WSA","TEX",989,162
"1166"," Montreal Expos","1970 Montreal Expos",1970,"MON","WSN",972,162
"1167"," California Angels","1971 California Angels",1971,"CAL","ANA",827,162
"1168"," Atlanta Braves","1971 Atlanta Braves",1971,"ATL","ATL",747,162
"1169"," Baltimore Orioles","1971 Baltimore Orioles",1971,"BAL","BAL",844,158
"1170"," Boston Red Sox","1971 Boston Red Sox",1971,"BOS","BOS",871,162
"1171"," Chicago Cubs","1971 Chicago Cubs",1971,"CHC","CHC",772,162
"1172"," Chicago White Sox","1971 Chicago White Sox",1971,"CHW","CHW",870,162
"1173"," Cincinnati Reds","1971 Cincinnati Reds",1971,"CIN","CIN",907,162
"1174"," Cleveland Indians","1971 Cleveland Indians",1971,"CLE","CLE",868,162
"1175"," Detroit Tigers","1971 Detroit Tigers",1971,"DET","DET",854,162
"1176"," Houston Astros","1971 Houston Astros",1971,"HOU","HOU",888,162
"1177"," Kansas City Royals","1971 Kansas City Royals",1971,"KCR","KCR",819,161
"1178"," Los Angeles Dodgers","1971 Los Angeles Dodgers",1971,"LAD","LAD",755,162
"1179"," Milwaukee Brewers","1971 Milwaukee Brewers",1971,"MIL","MIL",924,161
"1180"," Minnesota Twins","1971 Minnesota Twins",1971,"MIN","MIN",846,160
"1181"," New York Mets","1971 New York Mets",1971,"NYM","NYM",958,162
"1182"," New York Yankees","1971 New York Yankees",1971,"NYY","NYY",717,162
"1183"," Oakland Athletics","1971 Oakland Athletics",1971,"OAK","OAK",1018,161
"1184"," Philadelphia Phillies","1971 Philadelphia Phillies",1971,"PHI","PHI",1031,162
"1185"," Pittsburgh Pirates","1971 Pittsburgh Pirates",1971,"PIT","PIT",919,162
"1186"," San Diego Padres","1971 San Diego Padres",1971,"SDP","SDP",966,161
"1187"," San Francisco Giants","1971 San Francisco Giants",1971,"SFG","SFG",1042,162
"1188"," St. Louis Cardinals","1971 St. Louis Cardinals",1971,"STL","STL",757,163
"1189"," Washington Senators","1971 Washington Senators",1971,"WSA","TEX",956,159
"1190"," Montreal Expos","1971 Montreal Expos",1971,"MON","WSN",800,162
"1191"," California Angels","1972 California Angels",1972,"CAL","ANA",850,155
"1192"," Atlanta Braves","1972 Atlanta Braves",1972,"ATL","ATL",770,155
"1193"," Baltimore Orioles","1972 Baltimore Orioles",1972,"BAL","BAL",935,154
"1194"," Boston Red Sox","1972 Boston Red Sox",1972,"BOS","BOS",858,155
"1195"," Chicago Cubs","1972 Chicago Cubs",1972,"CHC","CHC",815,156
"1196"," Chicago White Sox","1972 Chicago White Sox",1972,"CHW","CHW",991,154
"1197"," Cincinnati Reds","1972 Cincinnati Reds",1972,"CIN","CIN",914,154
"1198"," Cleveland Indians","1972 Cleveland Indians",1972,"CLE","CLE",762,156
"1199"," Detroit Tigers","1972 Detroit Tigers",1972,"DET","DET",793,156
"1200"," Houston Astros","1972 Houston Astros",1972,"HOU","HOU",907,153
"1201"," Kansas City Royals","1972 Kansas City Royals",1972,"KCR","KCR",711,154
"1202"," Los Angeles Dodgers","1972 Los Angeles Dodgers",1972,"LAD","LAD",786,155
"1203"," Milwaukee Brewers","1972 Milwaukee Brewers",1972,"MIL","MIL",868,156
"1204"," Minnesota Twins","1972 Minnesota Twins",1972,"MIN","MIN",905,154
"1205"," New York Mets","1972 New York Mets",1972,"NYM","NYM",990,156
"1206"," New York Yankees","1972 New York Yankees",1972,"NYY","NYY",689,155
"1207"," Oakland Athletics","1972 Oakland Athletics",1972,"OAK","OAK",886,155
"1208"," Philadelphia Phillies","1972 Philadelphia Phillies",1972,"PHI","PHI",930,156
"1209"," Pittsburgh Pirates","1972 Pittsburgh Pirates",1972,"PIT","PIT",871,155
"1210"," San Diego Padres","1972 San Diego Padres",1972,"SDP","SDP",976,153
"1211"," San Francisco Giants","1972 San Francisco Giants",1972,"SFG","SFG",964,155
"1212"," St. Louis Cardinals","1972 St. Louis Cardinals",1972,"STL","STL",793,156
"1213"," Texas Rangers","1972 Texas Rangers",1972,"TEX","TEX",926,154
"1214"," Montreal Expos","1972 Montreal Expos",1972,"MON","WSN",828,156
"1215"," California Angels","1973 California Angels",1973,"CAL","ANA",816,162
"1216"," Atlanta Braves","1973 Atlanta Braves",1973,"ATL","ATL",870,162
"1217"," Baltimore Orioles","1973 Baltimore Orioles",1973,"BAL","BAL",752,162
"1218"," Boston Red Sox","1973 Boston Red Sox",1973,"BOS","BOS",799,162
"1219"," Chicago Cubs","1973 Chicago Cubs",1973,"CHC","CHC",855,161
"1220"," Chicago White Sox","1973 Chicago White Sox",1973,"CHW","CHW",952,162
"1221"," Cincinnati Reds","1973 Cincinnati Reds",1973,"CIN","CIN",947,162
"1222"," Cleveland Indians","1973 Cleveland Indians",1973,"CLE","CLE",793,162
"1223"," Detroit Tigers","1973 Detroit Tigers",1973,"DET","DET",722,162
"1224"," Houston Astros","1973 Houston Astros",1973,"HOU","HOU",962,162
"1225"," Kansas City Royals","1973 Kansas City Royals",1973,"KCR","KCR",696,162
"1226"," Los Angeles Dodgers","1973 Los Angeles Dodgers",1973,"LAD","LAD",795,162
"1227"," Milwaukee Brewers","1973 Milwaukee Brewers",1973,"MIL","MIL",977,162
"1228"," Minnesota Twins","1973 Minnesota Twins",1973,"MIN","MIN",954,162
"1229"," New York Mets","1973 New York Mets",1973,"NYM","NYM",805,161
"1230"," New York Yankees","1973 New York Yankees",1973,"NYY","NYY",680,162
"1231"," Oakland Athletics","1973 Oakland Athletics",1973,"OAK","OAK",919,162
"1232"," Philadelphia Phillies","1973 Philadelphia Phillies",1973,"PHI","PHI",979,162
"1233"," Pittsburgh Pirates","1973 Pittsburgh Pirates",1973,"PIT","PIT",842,162
"1234"," San Diego Padres","1973 San Diego Padres",1973,"SDP","SDP",966,162
"1235"," San Francisco Giants","1973 San Francisco Giants",1973,"SFG","SFG",913,162
"1236"," St. Louis Cardinals","1973 St. Louis Cardinals",1973,"STL","STL",796,162
"1237"," Texas Rangers","1973 Texas Rangers",1973,"TEX","TEX",791,162
"1238"," Montreal Expos","1973 Montreal Expos",1973,"MON","WSN",777,162
"1239"," California Angels","1974 California Angels",1974,"CAL","ANA",801,163
"1240"," Atlanta Braves","1974 Atlanta Braves",1974,"ATL","ATL",772,163
"1241"," Baltimore Orioles","1974 Baltimore Orioles",1974,"BAL","BAL",770,162
"1242"," Boston Red Sox","1974 Boston Red Sox",1974,"BOS","BOS",811,162
"1243"," Chicago Cubs","1974 Chicago Cubs",1974,"CHC","CHC",857,162
"1244"," Chicago White Sox","1974 Chicago White Sox",1974,"CHW","CHW",858,163
"1245"," Cincinnati Reds","1974 Cincinnati Reds",1974,"CIN","CIN",940,163
"1246"," Cleveland Indians","1974 Cleveland Indians",1974,"CLE","CLE",756,162
"1247"," Detroit Tigers","1974 Detroit Tigers",1974,"DET","DET",784,162
"1248"," Houston Astros","1974 Houston Astros",1974,"HOU","HOU",864,162
"1249"," Kansas City Royals","1974 Kansas City Royals",1974,"KCR","KCR",768,162
"1250"," Los Angeles Dodgers","1974 Los Angeles Dodgers",1974,"LAD","LAD",820,162
"1251"," Milwaukee Brewers","1974 Milwaukee Brewers",1974,"MIL","MIL",909,162
"1252"," Minnesota Twins","1974 Minnesota Twins",1974,"MIN","MIN",791,163
"1253"," New York Mets","1974 New York Mets",1974,"NYM","NYM",735,162
"1254"," New York Yankees","1974 New York Yankees",1974,"NYY","NYY",690,162
"1255"," Oakland Athletics","1974 Oakland Athletics",1974,"OAK","OAK",876,162
"1256"," Philadelphia Phillies","1974 Philadelphia Phillies",1974,"PHI","PHI",822,162
"1257"," Pittsburgh Pirates","1974 Pittsburgh Pirates",1974,"PIT","PIT",828,162
"1258"," San Diego Padres","1974 San Diego Padres",1974,"SDP","SDP",900,162
"1259"," San Francisco Giants","1974 San Francisco Giants",1974,"SFG","SFG",869,162
"1260"," St. Louis Cardinals","1974 St. Louis Cardinals",1974,"STL","STL",752,161
"1261"," Texas Rangers","1974 Texas Rangers",1974,"TEX","TEX",710,161
"1262"," Montreal Expos","1974 Montreal Expos",1974,"MON","WSN",812,161
"1263"," California Angels","1975 California Angels",1975,"CAL","ANA",811,161
"1264"," Atlanta Braves","1975 Atlanta Braves",1975,"ATL","ATL",759,161
"1265"," Baltimore Orioles","1975 Baltimore Orioles",1975,"BAL","BAL",834,159
"1266"," Boston Red Sox","1975 Boston Red Sox",1975,"BOS","BOS",741,160
"1267"," Chicago Cubs","1975 Chicago Cubs",1975,"CHC","CHC",802,162
"1268"," Chicago White Sox","1975 Chicago White Sox",1975,"CHW","CHW",800,161
"1269"," Cincinnati Reds","1975 Cincinnati Reds",1975,"CIN","CIN",916,162
"1270"," Cleveland Indians","1975 Cleveland Indians",1975,"CLE","CLE",667,159
"1271"," Detroit Tigers","1975 Detroit Tigers",1975,"DET","DET",872,159
"1272"," Houston Astros","1975 Houston Astros",1975,"HOU","HOU",762,162
"1273"," Kansas City Royals","1975 Kansas City Royals",1975,"KCR","KCR",675,162
"1274"," Los Angeles Dodgers","1975 Los Angeles Dodgers",1975,"LAD","LAD",825,162
"1275"," Milwaukee Brewers","1975 Milwaukee Brewers",1975,"MIL","MIL",922,162
"1276"," Minnesota Twins","1975 Minnesota Twins",1975,"MIN","MIN",746,159
"1277"," New York Mets","1975 New York Mets",1975,"NYM","NYM",805,162
"1278"," New York Yankees","1975 New York Yankees",1975,"NYY","NYY",710,160
"1279"," Oakland Athletics","1975 Oakland Athletics",1975,"OAK","OAK",846,162
"1280"," Philadelphia Phillies","1975 Philadelphia Phillies",1975,"PHI","PHI",960,162
"1281"," Pittsburgh Pirates","1975 Pittsburgh Pirates",1975,"PIT","PIT",832,161
"1282"," San Diego Padres","1975 San Diego Padres",1975,"SDP","SDP",754,162
"1283"," San Francisco Giants","1975 San Francisco Giants",1975,"SFG","SFG",775,161
"1284"," St. Louis Cardinals","1975 St. Louis Cardinals",1975,"STL","STL",649,163
"1285"," Texas Rangers","1975 Texas Rangers",1975,"TEX","TEX",863,162
"1286"," Montreal Expos","1975 Montreal Expos",1975,"MON","WSN",954,162
"1287"," California Angels","1976 California Angels",1976,"CAL","ANA",812,162
"1288"," Atlanta Braves","1976 Atlanta Braves",1976,"ATL","ATL",811,162
"1289"," Baltimore Orioles","1976 Baltimore Orioles",1976,"BAL","BAL",883,162
"1290"," Boston Red Sox","1976 Boston Red Sox",1976,"BOS","BOS",832,162
"1291"," Chicago Cubs","1976 Chicago Cubs",1976,"CHC","CHC",834,162
"1292"," Chicago White Sox","1976 Chicago White Sox",1976,"CHW","CHW",739,161
"1293"," Cincinnati Reds","1976 Cincinnati Reds",1976,"CIN","CIN",902,162
"1294"," Cleveland Indians","1976 Cleveland Indians",1976,"CLE","CLE",631,159
"1295"," Detroit Tigers","1976 Detroit Tigers",1976,"DET","DET",730,161
"1296"," Houston Astros","1976 Houston Astros",1976,"HOU","HOU",719,162
"1297"," Kansas City Royals","1976 Kansas City Royals",1976,"KCR","KCR",650,162
"1298"," Los Angeles Dodgers","1976 Los Angeles Dodgers",1976,"LAD","LAD",744,162
"1299"," Milwaukee Brewers","1976 Milwaukee Brewers",1976,"MIL","MIL",909,161
"1300"," Minnesota Twins","1976 Minnesota Twins",1976,"MIN","MIN",714,162
"1301"," New York Mets","1976 New York Mets",1976,"NYM","NYM",797,162
"1302"," New York Yankees","1976 New York Yankees",1976,"NYY","NYY",616,159
"1303"," Oakland Athletics","1976 Oakland Athletics",1976,"OAK","OAK",818,161
"1304"," Philadelphia Phillies","1976 Philadelphia Phillies",1976,"PHI","PHI",793,162
"1305"," Pittsburgh Pirates","1976 Pittsburgh Pirates",1976,"PIT","PIT",807,162
"1306"," San Diego Padres","1976 San Diego Padres",1976,"SDP","SDP",716,162
"1307"," San Francisco Giants","1976 San Francisco Giants",1976,"SFG","SFG",778,162
"1308"," St. Louis Cardinals","1976 St. Louis Cardinals",1976,"STL","STL",860,162
"1309"," Texas Rangers","1976 Texas Rangers",1976,"TEX","TEX",809,162
"1310"," Montreal Expos","1976 Montreal Expos",1976,"MON","WSN",841,162
"1311"," California Angels","1977 California Angels",1977,"CAL","ANA",880,162
"1312"," Atlanta Braves","1977 Atlanta Braves",1977,"ATL","ATL",876,162
"1313"," Baltimore Orioles","1977 Baltimore Orioles",1977,"BAL","BAL",945,161
"1314"," Boston Red Sox","1977 Boston Red Sox",1977,"BOS","BOS",905,161
"1315"," Chicago Cubs","1977 Chicago Cubs",1977,"CHC","CHC",796,162
"1316"," Chicago White Sox","1977 Chicago White Sox",1977,"CHW","CHW",666,162
"1317"," Cincinnati Reds","1977 Cincinnati Reds",1977,"CIN","CIN",911,162
"1318"," Cleveland Indians","1977 Cleveland Indians",1977,"CLE","CLE",688,161
"1319"," Detroit Tigers","1977 Detroit Tigers",1977,"DET","DET",764,162
"1320"," Houston Astros","1977 Houston Astros",1977,"HOU","HOU",839,162
"1321"," Kansas City Royals","1977 Kansas City Royals",1977,"KCR","KCR",687,162
"1322"," Los Angeles Dodgers","1977 Los Angeles Dodgers",1977,"LAD","LAD",896,162
"1323"," Milwaukee Brewers","1977 Milwaukee Brewers",1977,"MIL","MIL",862,162
"1324"," Minnesota Twins","1977 Minnesota Twins",1977,"MIN","MIN",754,161
"1325"," New York Mets","1977 New York Mets",1977,"NYM","NYM",887,162
"1326"," New York Yankees","1977 New York Yankees",1977,"NYY","NYY",681,162
"1327"," Oakland Athletics","1977 Oakland Athletics",1977,"OAK","OAK",910,161
"1328"," Philadelphia Phillies","1977 Philadelphia Phillies",1977,"PHI","PHI",806,162
"1329"," Pittsburgh Pirates","1977 Pittsburgh Pirates",1977,"PIT","PIT",878,162
"1330"," San Diego Padres","1977 San Diego Padres",1977,"SDP","SDP",1057,162
"1331"," Seattle Mariners","1977 Seattle Mariners",1977,"SEA","SEA",769,162
"1332"," San Francisco Giants","1977 San Francisco Giants",1977,"SFG","SFG",842,162
"1333"," St. Louis Cardinals","1977 St. Louis Cardinals",1977,"STL","STL",823,162
"1334"," Texas Rangers","1977 Texas Rangers",1977,"TEX","TEX",904,162
"1335"," Toronto Blue Jays","1977 Toronto Blue Jays",1977,"TOR","TOR",819,161
"1336"," Montreal Expos","1977 Montreal Expos",1977,"MON","WSN",877,162
"1337"," California Angels","1978 California Angels",1978,"CAL","ANA",682,162
"1338"," Atlanta Braves","1978 Atlanta Braves",1978,"ATL","ATL",874,162
"1339"," Baltimore Orioles","1978 Baltimore Orioles",1978,"BAL","BAL",864,161
"1340"," Boston Red Sox","1978 Boston Red Sox",1978,"BOS","BOS",835,163
"1341"," Chicago Cubs","1978 Chicago Cubs",1978,"CHC","CHC",746,162
"1342"," Chicago White Sox","1978 Chicago White Sox",1978,"CHW","CHW",625,161
"1343"," Cincinnati Reds","1978 Cincinnati Reds",1978,"CIN","CIN",899,161
"1344"," Cleveland Indians","1978 Cleveland Indians",1978,"CLE","CLE",698,159
